DEBUG | 2026-02-19 09:50:52 | listings.forms | forms | clean | 662 | Validating listing type: None
DEBUG | 2026-02-19 09:50:52 | listings.forms | forms | clean | 663 | Sale price: None, Lease monthly: None, Lease yearly: None
DEBUG | 2026-02-19 09:50:52 | listings.forms | forms | clean | 711 | Validating document: title_deed, Size: 1013813 bytes
DEBUG | 2026-02-19 09:50:52 | listings.forms | forms | clean | 711 | Validating document: soil_report, Size: 144943 bytes
DEBUG | 2026-02-19 09:50:52 | listings.forms | forms | clean | 711 | Validating document: official_search, Size: 346871 bytes
DEBUG | 2026-02-19 09:50:52 | listings.forms | forms | clean | 711 | Validating document: landowner_id_doc, Size: 103627 bytes
DEBUG | 2026-02-19 09:50:52 | listings.forms | forms | clean | 711 | Validating document: kra_pin, Size: 504989 bytes
WARNING | 2026-02-19 09:50:52 | listings.validation | forms | clean | 778 | Form validation failed with 2 errors
DEBUG | 2026-02-19 09:50:52 | listings.validation | forms | clean | 780 | Validation error: county: Please select a county
DEBUG | 2026-02-19 09:50:52 | listings.validation | forms | clean | 780 | Validation error: subcounty: Please select a sub-county
INFO | 2026-02-19 11:51:19 | listings.views | views | edit_plot | 1021 | === PLOT EDIT STARTED ===
INFO | 2026-02-19 11:51:19 | listings.views | views | edit_plot | 1022 | User: juma (ID: 17)
INFO | 2026-02-19 11:51:19 | listings.views | views | edit_plot | 1023 | Plot ID: 9
INFO | 2026-02-19 11:51:19 | listings.views | views | edit_plot | 1024 | IP Address: 127.0.0.1
INFO | 2026-02-19 11:51:19 | listings.views | views | edit_plot | 1025 | User Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
INFO | 2026-02-19 11:51:19 | listings.views | views | edit_plot | 1030 | Plot found: 'TEST' (Current county: None, subcounty: None)
INFO | 2026-02-19 11:51:19 | listings.views | views | edit_plot | 1040 | User type - Agent: True, Landowner: False
INFO | 2026-02-19 11:51:19 | listings.views | views | edit_plot | 1192 | Processing GET request for plot edit form (ID: 9)
INFO | 2026-02-19 11:51:19 | listings.views | views | edit_plot | 1203 | Prepared subcounties data for 47 counties
INFO | 2026-02-19 11:51:19 | listings.views | views | edit_plot | 1210 | Total request processing time: 0.01 seconds
INFO | 2026-02-19 11:51:19 | listings.views | views | edit_plot | 1211 | === PLOT EDIT ENDED ===

INFO | 2026-02-19 11:52:17 | listings.views | views | edit_plot | 1021 | === PLOT EDIT STARTED ===
INFO | 2026-02-19 11:52:17 | listings.views | views | edit_plot | 1022 | User: juma (ID: 17)
INFO | 2026-02-19 11:52:17 | listings.views | views | edit_plot | 1023 | Plot ID: 9
INFO | 2026-02-19 11:52:17 | listings.views | views | edit_plot | 1024 | IP Address: 127.0.0.1
INFO | 2026-02-19 11:52:17 | listings.views | views | edit_plot | 1025 | User Agent: Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36
